,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
51,Alofi,-19.0595,-169.9187,73.29,94,17,3.44,NU,1644597629
52,Tuktoyaktuk,69.4541,-133.0374,-20.2,76,40,16.11,CA,1644597629
53,Ilebo,-4.3167,20.5833,74.01,90,94,1.21,CD,1644597629
54,Rawson,-43.3002,-65.1023,70.79,22,0,4.76,AR,1644597630
55,Kodīnar,20.7903,70.7031,71.58,42,1,6.98,IN,1644597630
56,Thompson,55.7435,-97.8558,-29.04,62,0,5.75,CA,1644597591
57,Puerto Ayora,-0.7393,-90.3518,80.56,86,48,4.0,EC,1644597631
58,Lebu,-37.6167,-73.65,60.4,58,0,23.8,CL,1644597631
59,Anzio,41.4853,12.6179,58.68,68,69,2.62,IT,1644597631
60,Cape Town,-33.9258,18.4232,75.27,63,0,18.41,ZA,1644597632
61,Bereda,43.2686,-7.5406,57.0,89,98,4.29,ES,1644597632
62,Miracema do Tocantins,-9.5618,-48.3967,86.13,62,61,4.0,BR,1644597633
63,Avarua,-21.2078,-159.775,73.45,100,23,2.3,CK,1644597633
64,Zhangye,38.9342,100.4517,23.85,65,100,5.95,CN,1644597633
65,Souillac,-20.5167,57.5167,79.18,83,40,2.3,MU,1644597634
66,Bredasdorp,-34.5322,20.0403,74.28,67,0,9.48,ZA,1644597634
67,Phultala,22.7,89.5167,65.21,47,1,6.22,BD,1644597635
68,Kajaani,64.2273,27.7285,21.25,73,0,13.8,FI,1644597635
69,Lagoa,39.05,-27.9833,59.31,75,39,12.68,PT,1644597599
70,Auki,-8.7676,160.7034,74.59,96,100,1.88,SB,1644597636
71,Mollendo,-17.0231,-72.0147,74.53,68,34,11.32,PE,1644597636
72,Shingū,33.7333,135.9833,36.91,67,23,7.16,JP,1644597554
73,Punta Arenas,-53.15,-70.9167,57.22,67,75,23.02,CL,1644597636
74,Korla,41.7597,86.1469,27.64,51,6,5.86,CN,1644597637
75,Shakiso,5.75,38.9167,70.81,36,86,2.24,ET,1644597637
76,Dikson,73.5069,80.5464,5.02,90,100,26.64,RU,1644597638
77,Vaini,-21.2,-175.2,78.96,94,20,4.61,TO,1644597638
78,Isangel,-19.55,169.2667,79.57,85,99,13.44,VU,1644597638
79,Chui,-33.6971,-53.4616,83.55,56,5,12.64,UY,1644597639
80,Yellowknife,62.456,-114.3525,-17.72,77,20,2.3,CA,1644597639
81,Clyde River,70.4692,-68.5914,-16.37,76,100,29.93,CA,1644597640
82,Stephenville,32.2207,-98.2023,65.93,43,0,11.5,US,1644597640
83,Fomboni,-12.28,43.7425,77.9,84,100,10.18,KM,1644597641
84,Coquimbo,-29.9533,-71.3436,71.33,64,20,13.8,CL,1644597641
85,Saldanha,-33.0117,17.9442,77.05,87,16,18.79,ZA,1644597641
86,Bengkulu,-3.8004,102.2655,74.86,89,88,4.45,ID,1644597642
87,Nālūt,30.3333,10.85,56.44,35,73,6.17,LY,1644597642
88,Hobyo,5.3505,48.5268,76.98,66,2,20.29,SO,1644597642
89,Vestmannaeyjar,63.4427,-20.2734,36.59,75,75,21.85,IS,1644597643
90,Warrnambool,-38.3833,142.4833,56.03,81,1,11.95,AU,1644597643
91,Endicott,42.0984,-76.0494,47.98,49,0,13.0,US,1644597643
92,Nikolskoye,59.7035,30.7861,30.09,89,94,9.53,RU,1644597644
93,Kiryat Gat,31.61,34.7642,56.08,100,6,6.62,IL,1644597644
94,Castro,-24.7911,-50.0119,79.41,43,0,4.18,BR,1644597645
95,Saint-Philippe,-21.3585,55.7679,78.39,79,36,7.92,RE,1644597645
96,Rørvik,64.8621,11.2373,33.91,93,75,19.57,NO,1644597645
97,Nioro,13.35,-15.75,98.15,5,31,14.18,GM,1644597646
98,Acapulco de Juárez,16.8634,-99.8901,78.62,65,75,5.75,MX,1644597409
99,Namie,37.4833,141.0,31.71,94,44,6.71,JP,1644597647
100,Tuatapere,-46.1333,167.6833,51.82,89,87,6.04,NZ,1644597647
101,Hobart,-42.8794,147.3294,51.66,73,10,9.22,AU,1644597647
102,Padang,-0.9492,100.3543,77.09,80,100,3.74,ID,1644597648
103,Nome,64.5011,-165.4064,-5.73,54,0,0.0,US,1644597452
104,Lavrentiya,65.5833,-171.0,-26.16,95,62,6.73,RU,1644597648
105,Chunhuhub,19.55,-88.6833,81.23,59,76,4.88,MX,1644597649
106,Byron Bay,-28.65,153.6167,72.05,85,49,14.92,AU,1644597649
107,Vila Franca do Campo,37.7167,-25.4333,61.21,63,97,1.14,PT,1644597649
108,Longyearbyen,78.2186,15.6401,21.04,86,100,4.61,SJ,1644597650
109,Pierre,44.3683,-100.351,21.85,60,20,33.38,US,1644597579
110,Katobu,-4.9408,122.5276,75.9,91,100,1.39,ID,1644597650
111,Port Lincoln,-34.7333,135.8667,62.85,78,0,14.27,AU,1644597463
112,Javānrūd,34.7961,46.5172,42.44,100,95,3.78,IR,1644597651
113,Port Elizabeth,-33.918,25.5701,73.69,64,0,8.05,ZA,1644597651
114,Cervo,43.6702,-7.4101,56.19,87,91,16.82,ES,1644597651
115,Balakliya,49.4627,36.8595,38.23,95,100,9.37,UA,1644597652
116,Vanimo,-2.6741,141.3028,76.82,89,100,5.23,PG,1644597652
117,Lamesa,32.7376,-101.951,61.09,22,0,12.41,US,1644597653
118,Praia,14.9215,-23.5087,84.74,42,39,20.71,CV,1644597653
119,São Raimundo Nonato,-9.0153,-42.6994,84.72,54,54,4.29,BR,1644597409
120,Synya,65.3718,58.0387,8.91,89,100,6.96,RU,1644597654
121,Hambantota,6.1241,81.1185,77.2,88,96,11.23,LK,1644597387
122,Flinders,-34.5833,150.8552,70.21,85,75,8.01,AU,1644597654
123,Severo-Kuril'sk,50.6789,156.125,23.02,85,96,4.32,RU,1644597654
124,Hithadhoo,-0.6,73.0833,81.77,69,100,8.7,MV,1644597655
125,Cidreira,-30.1811,-50.2056,79.09,72,0,14.85,BR,1644597530
126,Cabo San Lucas,22.8909,-109.9124,72.05,59,0,5.75,MX,1644597544
127,Cuamba,-14.8031,36.5372,70.7,93,99,1.43,MZ,1644597655
128,Tiksi,71.6872,128.8694,-11.33,93,97,14.63,RU,1644597656
129,Bonavista,48.6499,-53.1147,39.11,79,84,14.56,CA,1644597656
130,Turukhansk,65.8167,87.9833,-19.79,89,27,5.28,RU,1644597657
131,Faanui,-16.4833,-151.75,80.02,76,14,14.99,PF,1644597657
132,Makkah al Mukarramah,21.4267,39.8261,68.72,48,0,12.8,SA,1644597657
133,Upernavik,72.7868,-56.1549,-14.8,76,100,12.95,GL,1644597658
134,Torbay,47.6666,-52.7314,43.57,75,75,23.02,CA,1644597658
135,Nantucket,41.2835,-70.0995,53.62,71,0,10.36,US,1644597637
136,Zhaotong,27.3167,103.7167,30.79,91,66,7.45,CN,1644597659
137,Chokurdakh,70.6333,147.9167,-6.2,97,100,11.95,RU,1644597659
138,Jamestown,42.097,-79.2353,47.08,56,75,17.27,US,1644597394
139,Muravlenko,63.7898,74.523,-7.31,86,24,12.28,RU,1644597660
140,Dunedin,-45.8742,170.5036,54.93,97,100,0.98,NZ,1644597660
141,Lokosovo,61.1333,74.8167,-6.2,98,21,7.7,RU,1644597660
142,Kahului,20.8947,-156.47,67.84,80,0,5.75,US,1644597661
143,Marsh Harbour,26.5412,-77.0636,73.9,73,32,13.82,BS,1644597363
144,Sulangan,11.1373,123.7228,79.02,87,100,13.18,PH,1644597661
145,Oskarshamn,57.2645,16.4484,35.8,51,7,9.66,SE,1644597662
146,Constantine,36.365,6.6147,56.61,54,40,12.66,DZ,1644597662
147,Cabedelo,-6.9811,-34.8339,88.47,62,51,11.27,BR,1644597662
148,Linhares,-19.3911,-40.0722,84.38,68,84,3.91,BR,1644597663
149,Calvinia,-31.4707,19.776,87.31,16,0,10.22,ZA,1644597664
150,Tual,-5.6667,132.75,82.8,68,100,3.04,ID,1644597664
151,Saskylakh,71.9167,114.0833,2.19,90,99,13.33,RU,1644597664
152,Dingle,10.9995,122.6711,75.04,91,100,7.02,PH,1644597665
153,Lida,53.8833,25.2997,32.77,88,100,5.37,BY,1644597665
154,Rapid Valley,44.0625,-103.1463,35.33,85,100,29.93,US,1644597666
155,Villa Rica,33.7321,-84.9191,64.69,49,5,9.31,US,1644597666
156,Pangody,65.85,74.4859,-3.32,80,3,15.26,RU,1644597666
157,Kodinsk,58.6881,99.1844,-19.7,100,54,1.12,RU,1644597667
158,San Patricio,28.017,-97.5169,71.69,48,0,6.17,US,1644597667
159,Irará,-12.05,-38.7667,86.02,49,65,9.78,BR,1644597668
160,Manadhoo,5.7667,73.3833,82.26,71,69,6.64,MV,1644597668
161,Port Keats,-14.25,129.55,81.05,81,7,3.0,AU,1644597668
162,Yar-Sale,66.8333,70.8333,1.09,80,77,17.96,RU,1644597669
163,Shirokiy,49.758,129.523,4.39,96,100,8.08,RU,1644597669
164,Lompoc,34.6391,-120.4579,82.13,53,0,8.05,US,1644597670
165,Palmer,42.1584,-72.3287,51.48,42,75,10.36,US,1644597577
166,Laas,46.6166,10.7002,48.11,92,80,8.19,IT,1644597670
167,Samarai,-10.6167,150.6667,80.64,68,65,14.45,PG,1644597671
168,Raymond,43.9015,-70.4703,44.69,57,47,8.1,US,1644597671
169,Inhambane,-23.865,35.3833,82.38,69,40,9.22,MZ,1644597672
170,Karrāpur,23.95,78.85,58.3,34,0,4.16,IN,1644597672
171,Salalah,17.0151,54.0924,77.09,57,20,2.3,OM,1644597673
172,East London,-33.0153,27.9116,76.14,78,20,6.91,ZA,1644597532
173,Saint-Augustin,51.226,-58.6502,33.84,87,100,14.5,CA,1644597673
174,Tasiilaq,65.6145,-37.6368,19.56,59,100,4.38,GL,1644597674
175,Cherskiy,68.75,161.3,-38.13,99,53,5.66,RU,1644597674
176,La Rioja,42.25,-2.5,50.31,74,99,3.47,ES,1644597674
177,Mount Gambier,-37.8333,140.7667,49.91,87,40,5.75,AU,1644597675
178,Zhigansk,66.7697,123.3711,-25.15,100,92,6.91,RU,1644597675
179,Huejuquilla el Alto,22.6,-103.8667,57.51,21,0,2.53,MX,1644597676
180,Paamiut,61.994,-49.6678,29.71,88,100,17.9,GL,1644597676
181,Pisco,-13.7,-76.2167,77.05,57,0,16.11,PE,1644597677
182,Barcelos,41.5388,-8.6151,64.85,76,93,3.91,PT,1644597677
183,Buala,-8.145,159.5921,76.44,93,100,5.3,SB,1644597678
184,Esperance,-33.8667,121.9,76.84,73,95,6.22,AU,1644597678
185,El Tigre,8.8875,-64.2454,90.01,35,25,13.15,VE,1644597678
186,Plettenberg Bay,-34.0527,23.3716,67.39,75,11,2.04,ZA,1644597679
187,Yangi Marg`ilon,40.4272,71.7189,42.22,56,100,0.0,UZ,1644597679
188,Richards Bay,-28.783,32.0377,77.11,79,2,9.19,ZA,1644597680
189,Ahipara,-35.1667,173.1667,74.19,95,98,12.15,NZ,1644597680
190,Kawalu,-7.3817,108.2082,74.03,92,98,1.9,ID,1644597680
191,Raudeberg,61.9875,5.1352,38.07,93,100,7.0,NO,1644597681
192,Bandarbeyla,9.4942,50.8122,75.07,65,25,18.63,SO,1644597681
193,Kilifi,-3.6305,39.8499,80.98,80,66,12.75,KE,1644597681
194,Mandalgovi,45.7625,106.2708,-2.51,60,100,7.02,MN,1644597682
195,Mossamedes,-15.1961,12.1522,77.41,78,60,10.07,AO,1644597682
196,Doha,25.2867,51.5333,68.31,73,0,11.5,QA,1644597433
197,Lorengau,-2.0226,147.2712,79.54,82,100,5.7,PG,1644597683
198,Formosa,-26.1775,-58.1781,103.17,17,3,8.25,AR,1644597683
199,George Town,5.4112,100.3354,81.9,81,20,1.14,MY,1644597448
200,Qaanaaq,77.484,-69.3632,-25.2,68,0,7.67,GL,1644597684
201,Shimoda,34.6667,138.95,39.11,79,98,8.77,JP,1644597684
202,Ponta do Sol,32.6667,-17.1,68.72,81,1,0.65,PT,1644597684
203,Enid,36.3956,-97.8784,57.15,45,0,24.16,US,1644597660
204,Qorveh,35.1664,47.8045,30.7,94,93,3.89,IR,1644597685
205,Kruisfontein,-34.0033,24.7314,69.03,64,0,6.24,ZA,1644597685
206,Kaohsiung City,22.6163,120.3133,66.15,82,20,4.61,TW,1644597686
207,Touros,-5.1989,-35.4608,88.7,58,50,13.51,BR,1644597686
208,Celestún,20.8667,-90.4,77.76,63,16,6.46,MX,1644597686
209,Zemio,5.0314,25.1361,85.39,23,91,2.66,CF,1644597687
210,Ladário,-19.0047,-57.6017,89.89,58,40,6.91,BR,1644597687
211,Jishou,28.3167,109.7167,41.0,94,100,2.42,CN,1644597688
212,Kavieng,-2.5744,150.7967,80.76,79,98,6.69,PG,1644597688
213,Kawardha,22.0167,81.25,59.77,31,1,6.02,IN,1644597688
214,Portland,45.5234,-122.6762,47.41,90,75,4.61,US,1644597623
215,Te Anau,-45.4167,167.7167,53.87,91,85,1.57,NZ,1644597689
216,Ilo,-17.6394,-71.3375,74.26,64,0,13.8,PE,1644597689
217,Codrington,-38.2667,141.9667,56.66,78,8,11.5,AU,1644597690
218,Obo,5.3998,26.4869,84.97,20,99,5.46,CF,1644597690
219,Aksu,41.1231,80.2644,27.27,46,4,0.25,CN,1644597552
220,Chowchilla,37.123,-120.2602,75.99,87,0,0.0,US,1644597690
221,Launceston,-41.45,147.1667,58.6,63,100,11.5,AU,1644597691
222,Klaksvík,62.2266,-6.589,38.32,71,100,10.49,FO,1644597691
223,Hong Kong,22.2855,114.1577,67.17,86,58,4.0,HK,1644597675
224,Luanda,-8.8368,13.2343,86.0,58,20,9.22,AO,1644597555
225,Adrar,20.5022,-10.0711,75.92,12,4,18.9,MR,1644597692
226,Chernyakhovsk,54.6335,21.8156,35.11,90,73,8.25,RU,1644597692
227,Pontes e Lacerda,-15.2261,-59.3353,83.64,75,93,6.06,BR,1644597693
228,Bilibino,68.0546,166.4372,-36.58,96,43,2.57,RU,1644597693
229,Westport,41.1415,-73.3579,53.74,61,7,1.01,US,1644597628
230,Caravelas,-17.7125,-39.2481,86.92,54,14,9.44,BR,1644597694
231,Statesboro,32.4488,-81.7832,64.54,29,0,3.44,US,1644597513
232,Dali,25.7,100.1833,40.86,85,1,3.89,CN,1644597694
233,Rome,43.2128,-75.4557,44.44,56,88,4.0,US,1644597695
234,Kaitangata,-46.2817,169.8464,55.38,86,100,3.13,NZ,1644597695
235,Tacoronte,28.4769,-16.4102,72.34,41,0,10.36,ES,1644597696
236,Porosozero,62.7191,32.727,21.97,94,100,9.91,RU,1644597696
237,Bairiki Village,1.3292,172.9752,80.6,78,40,11.5,KI,1644597696
238,Saint-Louis,16.3333,-15.0,89.24,8,40,19.55,SN,1644597697
239,Eilat,29.5581,34.9482,62.44,45,40,13.8,IL,1644597697
240,Coyhaique,-45.5752,-72.0662,60.75,44,20,8.05,CL,1644597698
241,Nouadhibou,20.931,-17.0347,85.98,19,88,12.66,MR,1644597698
242,Roebourne,-20.7833,117.1333,85.57,70,37,3.85,AU,1644597439
243,Geraldton,-28.7667,114.6,75.61,83,47,6.91,AU,1644597599
244,St. George's,12.0564,-61.7485,83.88,61,75,23.02,GD,1644597491
245,Zalari,53.5584,102.5065,-28.8,100,26,0.83,RU,1644597699
246,Ambilobe,-13.2,49.05,74.08,96,99,1.5,MG,1644597699
247,Qaqortoq,60.7167,-46.0333,25.3,67,100,5.91,GL,1644596950
248,Tabuk,17.4189,121.4443,69.19,90,99,4.14,PH,1644597700
249,Bowen,-20.0167,148.2333,71.82,78,5,8.12,AU,1644597700
250,Ulaangom,49.9811,92.0667,-27.09,90,40,3.91,MN,1644597701
251,Kungurtug,50.5994,97.5228,-24.09,99,58,2.04,RU,1644597701
252,Waipawa,-41.4122,175.5153,61.45,98,100,3.53,NZ,1644597605
253,Kokopo,-4.352,152.2633,76.55,87,95,4.74,PG,1644597702
254,Pitimbu,-7.4706,-34.8086,88.39,63,27,11.74,BR,1644597702
255,Abong Mbang,3.9833,13.1833,84.33,20,25,1.77,CM,1644597703
256,Saurimo,-9.6608,20.3916,70.59,81,99,1.52,AO,1644597703
257,Havre-St-Pierre,50.2334,-63.5986,25.16,68,40,26.46,CA,1644597703
258,Anadyr,64.75,177.4833,-32.3,68,0,11.18,RU,1644597704
259,Vardø,70.3705,31.1107,31.98,93,100,20.71,NO,1644597704
260,Gwanda,-20.9333,29.0,76.59,49,49,6.6,ZW,1644597705
261,Cockburn Town,21.4612,-71.1419,78.17,76,0,17.07,TC,1644597427
262,Tommot,58.9564,126.2925,-19.52,100,99,1.34,RU,1644597705
263,Praia da Vitória,38.7333,-27.0667,62.85,67,75,5.84,PT,1644597705
264,Buin,-33.7333,-70.75,79.05,31,13,8.88,CL,1644597706
265,Wanning,18.8003,110.3967,67.59,76,98,4.94,CN,1644597706
266,Mizdah,31.4451,12.9801,55.87,43,91,4.61,LY,1644597707
267,Martapura,-3.4167,114.85,77.09,94,100,2.3,ID,1644597707
268,Quatre Cocos,-20.2078,57.7625,78.91,79,72,4.99,MU,1644597707
269,Kalispell,48.1958,-114.3129,34.61,70,0,3.44,US,1644597588
270,Āsmār,35.0333,71.3581,47.19,41,2,8.61,AF,1644597708
271,Zaraza,9.3503,-65.3245,94.12,31,27,6.55,VE,1644597708
272,Belyy Yar,53.6039,91.3903,-23.15,60,20,0.0,RU,1644597708
273,Krasnosel'kup,65.7,82.4667,-14.87,92,60,7.38,RU,1644597709
274,Yumen,40.2833,97.2,23.36,47,97,4.21,CN,1644597709
275,Ranau,5.9538,116.6641,70.45,98,93,0.6,MY,1644597710
276,Iskateley,67.6803,53.1512,17.67,91,100,18.43,RU,1644597710
277,Aasiaat,68.7098,-52.8699,14.43,87,100,10.11,GL,1644597710
278,Safi,32.2994,-9.2372,65.28,64,48,16.51,MA,1644597711
279,Karratha,-20.7377,116.8463,85.5,69,11,4.45,AU,1644597711
280,Suifenhe,44.4,131.1667,10.67,79,52,16.13,CN,1644597711
281,Bambous Virieux,-20.3428,57.7575,79.05,83,40,2.3,MU,1644597527
282,Sidi Ali,36.0998,0.4206,53.1,76,100,4.79,DZ,1644597712
283,Santa Vitória do Palmar,-33.5189,-53.3681,83.44,56,9,9.48,BR,1644597712
284,Rabo de Peixe,37.8,-25.5833,60.31,67,20,5.75,PT,1644597713
285,Belaya Kholunitsa,58.84,50.8528,20.23,96,98,5.46,RU,1644597713
286,Blora,-6.9698,111.4186,73.36,97,100,4.14,ID,1644597713
287,São Lourenço do Sul,-31.3653,-51.9783,86.05,57,7,10.69,BR,1644597714
288,Progreso,21.2833,-89.6667,80.11,61,7,7.76,MX,1644597714
289,Lander,42.833,-108.7307,29.21,69,100,4.61,US,1644597715
290,Bintulu,3.1667,113.0333,73.81,100,40,3.44,MY,1644597715
291,Talnakh,69.4865,88.3972,-10.5,88,100,9.98,RU,1644597715
292,Tocopilla,-22.092,-70.1979,73.45,61,3,6.78,CL,1644597716
293,Grand Gaube,-20.0064,57.6608,79.2,77,78,1.01,MU,1644597716
294,Padre Paraíso,-17.0742,-41.4844,78.26,75,53,3.49,BR,1644597716
295,Sambava,-14.2667,50.1667,77.76,85,33,6.35,MG,1644597717
296,Berlevåg,70.8578,29.0864,32.0,86,75,24.16,NO,1644597717
297,Esso,55.9333,158.7,-7.29,96,49,4.12,RU,1644597717
298,Tuscaloosa,33.2098,-87.5692,63.97,51,0,6.91,US,1644597686
299,Ostrovnoy,68.0531,39.5131,18.88,93,99,11.83,RU,1644597677
300,Gao,16.6362,1.637,86.09,6,0,6.33,ML,1644597718
301,Yeppoon,-23.1333,150.7333,73.18,72,13,14.38,AU,1644597719
302,Mouila,-1.8685,11.0559,83.28,73,85,1.88,GA,1644597719
303,Hay River,60.8156,-115.7999,-11.22,77,40,5.75,CA,1644597719
304,Zafra,38.4167,-6.4167,65.98,44,14,8.7,ES,1644597720
305,Nizwá,22.9333,57.5333,69.51,30,0,2.82,OM,1644597720
306,Victor Harbor,-35.5667,138.6167,66.29,75,7,11.97,AU,1644597720
307,Saint-Pierre,-21.3393,55.4781,78.48,78,0,3.44,RE,1644597721
308,Paso de Carrasco,-34.8603,-56.0522,82.85,72,40,11.5,UY,1644597721
309,Husavik,66.0449,-17.3389,26.51,88,100,6.24,IS,1644597722
310,Pindwāra,24.8,73.0667,60.22,29,0,3.96,IN,1644597722
311,El Sauzal de Rodríguez,31.9,-116.6833,66.42,32,0,1.19,MX,1644597722
312,Mahibadhoo,3.7833,72.9667,82.17,68,93,6.08,MV,1644597723
313,Renfrew,55.872,-4.3925,43.56,74,99,13.8,GB,1644597723
314,San Juan,-31.5375,-68.5364,70.43,62,90,19.6,AR,1644597572
315,Petawawa,45.9001,-77.3328,32.79,76,100,11.5,CA,1644597724
316,Carnarvon,-24.8667,113.6333,82.47,65,11,8.05,AU,1644597724
317,Kilindoni,-7.9139,39.6668,81.28,77,100,11.56,TZ,1644597724
318,Cyangugu,-2.4846,28.9075,62.65,93,93,2.53,RW,1644597725
319,Barkot,30.8167,78.2,42.17,57,0,5.5,IN,1644597725
320,Hualmay,-11.0964,-77.6139,75.51,69,62,11.41,PE,1644597726
321,Taltal,-25.4,-70.4833,71.22,65,2,6.51,CL,1644597726
322,Birao,10.2849,22.7882,81.27,12,4,6.67,CF,1644597727
323,Biltine,14.5333,20.9167,79.48,9,4,8.43,TD,1644597727
324,Salta,-24.7859,-65.4117,83.57,47,75,4.61,AR,1644597727
325,Duluth,46.7833,-92.1066,20.46,69,100,20.71,US,1644597441
326,Wilmington,34.2257,-77.9447,68.0,48,0,0.0,US,1644597454
327,Puri,19.8,85.85,70.32,76,4,6.46,IN,1644597728
328,Bǝrdǝ,40.3744,47.1267,42.4,74,18,6.78,AZ,1644597729
329,Mildura,-34.2,142.15,64.36,45,0,11.5,AU,1644597465
330,Birjand,32.8663,59.2211,50.47,23,0,0.0,IR,1644597729
331,Oktyabr'skiy,54.4815,53.471,20.82,96,100,6.69,RU,1644597730
332,Chandler,33.3062,-111.8412,70.65,27,0,3.04,US,1644597646
333,Belmonte,-15.8631,-38.8828,84.7,63,18,9.93,BR,1644597730
334,Kīhei,20.785,-156.4656,67.84,80,0,5.75,US,1644597731
335,Fort Madison,40.6298,-91.3151,45.72,72,100,13.91,US,1644597731
336,Lázaro Cárdenas,17.9583,-102.2,83.16,33,5,0.87,MX,1644597731
337,Mae Sot,16.7167,98.5667,70.5,50,7,0.85,TH,1644597732
338,Maniitsoq,65.4167,-52.9,26.76,96,100,19.6,GL,1644597732
339,Cairns,-16.9167,145.7667,76.06,92,40,2.3,AU,1644597565
340,Qandala,11.472,49.8728,74.98,67,37,8.97,SO,1644597733
341,Sur,22.5667,59.5289,69.67,53,0,6.78,OM,1644597733
342,Boa Vista,2.8197,-60.6733,91.38,38,40,16.11,BR,1644597733
343,Amambai,-23.1042,-55.2258,92.1,27,0,7.43,BR,1644597734
344,Beringovskiy,63.05,179.3167,-27.94,98,79,9.35,RU,1644597734
345,College,64.8569,-147.8028,-5.85,74,100,9.22,US,1644597611
346,Arbazh,57.6804,48.3065,22.35,97,100,5.37,RU,1644597735
347,Narsaq,60.9167,-46.05,25.02,68,100,5.61,GL,1644597735
348,Pascagoula,30.3658,-88.5561,64.72,64,40,4.61,US,1644597735
349,Hofn,64.2539,-15.2082,28.42,54,0,6.91,IS,1644597736
350,São Gabriel da Cachoeira,-0.1303,-67.0892,82.2,83,75,5.75,BR,1644597736
351,South Kazakhstan Region,43.0,68.0,47.03,54,100,12.37,KZ,1644597737
352,Saint George,37.1041,-113.5841,59.34,49,0,4.61,US,1644597587
353,Vicuña,-30.0319,-70.7081,82.78,47,5,8.95,CL,1644597737
354,Ogōri-shimogō,34.1,131.4,42.76,61,79,5.03,JP,1644597738
355,Port-Gentil,-0.7193,8.7815,81.34,77,38,10.47,GA,1644597738
